2026-03-22 13:04:22 | INFO    | bayes_eval | MP+pos-rfi-data+ctrl-rfi-ctrlf | 24    | YES          | 173.77     | 173.77    
2026-03-22 13:04:22 | INFO    | bayes_eval | S+rfi-data+addr-rfi-ctrl       | 21    | NO           | 1.93       | 0.41      
2026-03-22 13:04:22 | INFO    | bayes_eval | MP+rfi-ctrl+addr-rfi           | 19    | NO           | 2.55       | 1.67      
2026-03-22 13:04:22 | INFO    | bayes_eval | R+rfi-ctrlfencei+rfi-ctrl-rfi  | 18    | YES          | 2.17       | 2.17      
2026-03-22 13:04:22 | INFO    | bayes_eval | SB+rfi-ctrlfencei+pos-rfi-addr | 18    | YES          | 9.45       | 9.45      
2026-03-22 13:04:22 | INFO    | bayes_eval | SB+rfi-addr-rfis               | 19    | YES          | 3.79       | 3.79      
2026-03-22 13:04:22 | INFO    | bayes_eval | SB+po+po-ctrlfencei            | 18    | YES          | 21.90      | 21.90     
2026-03-22 13:04:22 | INFO    | bayes_eval | S+rfi-ctrl+fence.r.rw          | 18    | YES          | 69.42      | 69.42     
2026-03-22 13:04:22 | INFO    | bayes_eval | MP+fence.rw.rw+ctrl-rfi-addr   | 13    | YES          | 1.09       | 1.09      
2026-03-22 13:04:22 | INFO    | bayes_eval | SB+rfi-addr+pos-rfi-addr       | 15    | NO           | 5.22       | 4.50      
2026-03-22 13:04:22 | INFO    | bayes_eval | R+rfi-ctrl+rfi-ctrl-rfi        | 22    | NO           | 7.26       | 1.82      
2026-03-22 13:04:22 | INFO    | bayes_eval | LB+fence.r.rw+po               | 22    | NO           | 9.44       | 8.77      
2026-03-22 13:04:22 | INFO    | bayes_eval | R+fence.rw.rw+fence.w.w        | 26    | YES          | 11.49      | 11.49     
2026-03-22 13:04:22 | INFO    | bayes_eval | SB+po+porlp+NEW                | 23    | YES          | 4.53       | 4.53      
2026-03-22 13:04:22 | INFO    | bayes_eval | R+wsi-rfi-data+fence.rw.rw     | 28    | YES          | 3.12       | 3.12      
2026-03-22 13:04:22 | INFO    | bayes_eval | S+rfi-data+ctrlfencei-rfi-data | 16    | NO           | 1.09       | 1.00      
2026-03-22 13:04:22 | INFO    | bayes_eval | MP+pos-rfi-ctrl+addr-rfi-ctrlf | 17    | YES          | 68.74      | 68.74     
2026-03-22 13:04:22 | INFO    | bayes_eval | 2+2W                           | 26    | NO           | 20.45      | 9.21      
2026-03-22 13:04:22 | INFO    | bayes_eval | R+rfi-addr+rfi-ctrlfencei-rfi  | 22    | YES          | 2.87       | 2.87      
2026-03-22 13:04:22 | INFO    | bayes_eval | MP+fence.w.w+ctrl              | 20    | YES          | 5.29       | 5.29      
2026-03-22 13:04:22 | INFO    | bayes_eval | SB+pos-addrs                   | 19    | YES          | 4.39       | 4.39      
2026-03-22 13:04:22 | INFO    | bayes_eval | S+po+fence.r.rw                | 20    | YES          | 11.11      | 11.11     
2026-03-22 13:04:22 | INFO    | bayes_eval | R+wsi-rfi-ctrl+fence.rw.rw     | 21    | YES          | 3.14       | 3.14      
2026-03-22 13:04:22 | INFO    | bayes_eval | MP+fence.rw.rw+ctrl-fri-rfi-ad | 15    | YES          | 1.08       | 1.08      
2026-03-22 13:04:22 | INFO    | bayes_eval | 2+2W+fence.rw.w+rfi-ctrl       | 20    | NO           | 0.97       | 0.75      
2026-03-22 13:04:22 | INFO    | bayes_eval | R+rfi-ctrlfencei+rfi-addr      | 16    | NO           | 7.45       | 1.03      
2026-03-22 13:04:22 | INFO    | bayes_eval | MP+rfi-data+addr               | 17    | YES          | 2.54       | 2.54      
2026-03-22 13:04:22 | INFO    | bayes_eval | S+rfi-data+data                | 22    | NO           | 10.56      | 8.95      
2026-03-22 13:04:22 | INFO    | bayes_eval | R+poprl+po+NEW                 | 15    | YES          | 33.29      | 33.29     
2026-03-22 13:04:22 | INFO    | bayes_eval | SB+pos-po-addrs+pos-po-ctrlfen | 16    | YES          | 16.49      | 16.49     
2026-03-22 13:04:22 | INFO    | bayes_eval | SB+po-addrs+pos-po-addr        | 24    | NO           | 0.96       | 0.59      
2026-03-22 13:04:22 | INFO    | bayes_eval | S+po+fence.rw.rw               | 18    | YES          | 14.65      | 14.65     
2026-03-22 13:04:22 | INFO    | bayes_eval | R+rfi-data+rfi-data-rfi        | 23    | YES          | 3.64       | 3.64      
2026-03-22 13:04:22 | INFO    | bayes_eval | S+rfi-ctrl+addr-rfi-ctrl       | 17    | NO           | 0.92       | 0.76      
2026-03-22 13:04:22 | INFO    | bayes_eval | MP+pos-rfi-ctrl+ctrl-rfi-addr  | 25    | NO           | 1.88       | 0.41      
2026-03-22 13:04:22 | INFO    | bayes_eval | S+rfi-addr+ctrlfencei-rfi-addr | 21    | NO           | 5.77       | 0.83      
2026-03-22 13:04:22 | INFO    | bayes_eval | SB+fence.rw.rw+pos-po-addrs    | 18    | YES          | 3.69       | 3.69      
2026-03-22 13:04:22 | INFO    | bayes_eval | S+rfi-data+data-rfi-addr       | 19    | NO           | 8.76       | 4.02      
2026-03-22 13:04:22 | INFO    | bayes_eval | S+rfi-addr+addr                | 19    | YES          | 6.93       | 6.93      
2026-03-22 13:04:22 | INFO    | bayes_eval | MP+rfi-ctrl+ctrlfencei-rfi-add | 16    | NO           | 3248.15    | 420.19    
2026-03-22 13:04:22 | INFO    | bayes_eval | SB+pos-po-addrss               | 16    | YES          | 3.41       | 3.41      
2026-03-22 13:04:22 | INFO    | bayes_eval | SB+po-addrs+po-ctrlfenceis     | 18    | NO           | 1.24       | 0.03      
2026-03-22 13:04:22 | INFO    | bayes_eval | S+rfi-addr+data-rfi-ctrlfencei | 16    | NO           | 2.64       | 0.43      
2026-03-22 13:04:22 | INFO    | bayes_eval | R+fence.w.w+rfi-addr-rfi       | 18    | YES          | 5.49       | 5.49      
2026-03-22 13:04:22 | INFO    | bayes_eval | R+fence.rw.rw+rfi-addr         | 23    | NO           | 2.64       | 1.70      
2026-03-22 13:04:22 | INFO    | bayes_eval | R+fence.rw.rw+rfi-ctrl-rfi     | 21    | YES          | 1.81       | 1.81      
2026-03-22 13:04:22 | INFO    | bayes_eval | SB+pos-po-addr+pos-po-ctrlfenc | 20    | NO           | 7.38       | 6.83      
2026-03-22 13:04:22 | INFO    | bayes_eval | MP+rfi-data+ctrlfencei-rfi-ctr | 22    | NO           | 1.63       | 0.00      
2026-03-22 13:04:22 | INFO    | bayes_eval | R+rfi-addr+rfi-ctrlfencei      | 17    | YES          | 761.95     | 761.95    
2026-03-22 13:04:22 | INFO    | bayes_eval | MP+pos-rfi-data+data-rfi-ctrlf | 21    | YES          | 110.33     | 110.33    
2026-03-22 13:04:22 | INFO    | bayes_eval | MP+pos-rfi-data+ctrlfencei-rfi | 14    | YES          | 135.29     | 135.29    
2026-03-22 13:04:22 | INFO    | bayes_eval | LB+fence.rw.w+po               | 13    | NO           | 8.58       | 4.91      
2026-03-22 13:04:22 | INFO    | bayes_eval | SB+pos-pos-addrs               | 12    | NO           | 4.97       | 3.53      
2026-03-22 13:04:22 | INFO    | bayes_eval | R+rfi-addrs                    | 11    | NO           | 1.82       | 1.70      
2026-03-22 13:04:22 | INFO    | bayes_eval | MP+rfi-addr+ctrl-rfi-ctrlfence | 19    | YES          | 11.49      | 11.49     
2026-03-22 13:04:22 | INFO    | bayes_eval | MP+pos-rfi-addr+ctrlfencei     | 24    | NO           | 104.27     | 4.46      
2026-03-22 13:04:22 | INFO    | bayes_eval | R+fence.w.w+rfi-ctrl-rfi       | 14    | NO           | 3.30       | 1.23      
2026-03-22 13:04:22 | INFO    | bayes_eval | MP+rfi-ctrlfencei+ctrl-rfi-add | 16    | NO           | 132.11     | 1.04      
2026-03-22 13:04:22 | INFO    | bayes_eval | MP+rfi-ctrl+fence.r.rw         | 19    | YES          | 5.28       | 5.28      
2026-03-22 13:04:22 | INFO    | bayes_eval | MP+po+ctrlfencei               | 25    | NO           | 11144.44   | 9347.20   
2026-03-22 13:04:22 | INFO    | bayes_eval | MP+pos-rfi-addr+addr-rfi-ctrlf | 19    | YES          | 209.99     | 209.99    
