2026-01-26 11:36:05 | INFO    | random_grid | [Downloader] Connection lost at c888f794: [Errno 2] No such file or directory: './make_new_litmus/bayes_log/Rfe_DpCtrldW_Wse_PodWW_Wse_PodWW_0_1_0_0_0_0_2_0_0_0_0_100000-c888f794.log'
2026-01-26 11:36:05 | INFO    | random_grid | [Downloader] Processing batch of 9 tasks...
2026-01-26 11:36:06 | INFO    | random_grid | [Downloader] Connection lost at 17f03492: [Errno 2] No such file or directory: './make_new_litmus/bayes_log/Rfe_PodRR_Fre_PodWW_Rfe_DpDatadW_0_1_0_0_0_0_2_0_0_0_0_100000-17f03492.log'
2026-01-26 11:36:06 | INFO    | random_grid | [Downloader] Processing batch of 7 tasks...
2026-01-26 11:36:06 | INFO    | random_grid | [Downloader] Connection lost at c888f794: [Errno 2] No such file or directory: './make_new_litmus/bayes_log/Rfe_DpCtrldW_Wse_PodWW_Wse_PodWW_0_1_0_0_0_0_2_0_0_0_0_100000-c888f794.log'
2026-01-26 11:36:06 | INFO    | random_grid | [Downloader] Processing batch of 9 tasks...
2026-01-26 11:36:06 | INFO    | random_grid | [Pipeline Status] Compile:0, Upload:0, Run:0, Down:0, Result:0
2026-01-26 11:36:07 | INFO    | random_grid | [Downloader] Connection lost at 17f03492: [Errno 2] No such file or directory: './make_new_litmus/bayes_log/Rfe_PodRR_Fre_PodWW_Rfe_DpDatadW_0_1_0_0_0_0_2_0_0_0_0_100000-17f03492.log'
2026-01-26 11:36:07 | INFO    | random_grid | [Downloader] Processing batch of 7 tasks...
2026-01-26 11:36:07 | INFO    | random_grid | [Downloader] Connection lost at c888f794: [Errno 2] No such file or directory: './make_new_litmus/bayes_log/Rfe_DpCtrldW_Wse_PodWW_Wse_PodWW_0_1_0_0_0_0_2_0_0_0_0_100000-c888f794.log'
2026-01-26 11:36:07 | INFO    | random_grid | [Downloader] Processing batch of 9 tasks...
2026-01-26 11:36:07 | INFO    | random_grid | [Pipeline Status] Compile:0, Upload:0, Run:0, Down:0, Result:0
2026-01-26 11:36:07 | INFO    | random_grid | [Downloader] Connection lost at 17f03492: [Errno 2] No such file or directory: './make_new_litmus/bayes_log/Rfe_PodRR_Fre_PodWW_Rfe_DpDatadW_0_1_0_0_0_0_2_0_0_0_0_100000-17f03492.log'
2026-01-26 11:36:07 | INFO    | random_grid | [Downloader] Processing batch of 7 tasks...
2026-01-26 11:36:08 | INFO    | random_grid | [Downloader] Connection lost at c888f794: [Errno 2] No such file or directory: './make_new_litmus/bayes_log/Rfe_DpCtrldW_Wse_PodWW_Wse_PodWW_0_1_0_0_0_0_2_0_0_0_0_100000-c888f794.log'
2026-01-26 11:36:08 | INFO    | random_grid | [Downloader] Processing batch of 9 tasks...
2026-01-26 11:36:08 | INFO    | random_grid | [Pipeline Status] Compile:0, Upload:0, Run:0, Down:0, Result:0
2026-01-26 11:36:08 | INFO    | random_grid | [Downloader] Connection lost at 17f03492: [Errno 2] No such file or directory: './make_new_litmus/bayes_log/Rfe_PodRR_Fre_PodWW_Rfe_DpDatadW_0_1_0_0_0_0_2_0_0_0_0_100000-17f03492.log'
2026-01-26 11:36:08 | INFO    | random_grid | [Downloader] Processing batch of 7 tasks...
2026-01-26 11:36:08 | INFO    | random_grid | [Downloader] Connection lost at c888f794: [Errno 2] No such file or directory: './make_new_litmus/bayes_log/Rfe_DpCtrldW_Wse_PodWW_Wse_PodWW_0_1_0_0_0_0_2_0_0_0_0_100000-c888f794.log'
